global_opt_step,inner_opt_step,lr,param_sum,step,total_samples,total_tokens
,0,0.0,"tensor(58.7500, dtype=torch.bfloat16)",0,0,0
,2,0.0025587731599807737,12.3198881149292,1.6666666666666669e-06,"tensor(58.7500, dtype=torch.bfloat16)",224109.078125,10,56916.16507211207,1024,1048576,0.005169378916422526
,4,0.0027024172412024603,12.453073501586914,3.3333333333333337e-06,"tensor(58.7500, dtype=torch.bfloat16)",256036.03125,20,53890.84754756595,2048,2097152,0.0104681658744812
,6,0.0025514199998643663,12.345893859863281,5e-06,"tensor(58.7500, dtype=torch.bfloat16)",230013.625,30,57080.19673879548,3072,3145728,0.015552555455101862
,8,0.0025521997610727944,12.215964317321777,6.6666666666666675e-06,"tensor(58.7500, dtype=torch.bfloat16)",201988.15625,40,57062.75730326804,4096,4194304,0.020632310377226935
,10,0.0025843788517846003,12.215246200561523,8.333333333333334e-06,"tensor(58.7500, dtype=torch.bfloat16)",201843.15625,50,56352.24706121911,5120,5242880,0.02581438859303792
,12,0.0026435602373547024,12.202661514282227,1e-05,"tensor(59., dtype=torch.bfloat16)",199318.953125,60,55090.68925219076,6144,6291456,0.031055522163709003
,14,0.0025861114263534546,12.383330345153809,1.1666666666666668e-05,"tensor(58.7500, dtype=torch.bfloat16)",238787.75,70,56314.493672420336,7168,7340032,0.03634819666544596
,16,0.0026292678382661607,12.139986038208008,1.3333333333333335e-05,"tensor(58.7500, dtype=torch.bfloat16)",187209.96875,80,55390.15593466247,8192,8388608,0.041547873417536414
,18,0.002577515376938714,12.208189010620117,1.5e-05,"tensor(58.7500, dtype=torch.bfloat16)",200423.71875,90,56502.303287332965,9216,9437184,0.04668878210915459
,20,0.01620416561762492,12.189050674438477,1.6666666666666667e-05,"tensor(58.7500, dtype=torch.bfloat16)",196624.40625,100,8987.538080772942,10240,10485760,0.06547363486554887
,22,0.0026487357086605497,12.085542678833008,1.8333333333333333e-05,"tensor(58.7500, dtype=torch.bfloat16)",177290.09375,110,54983.04533720452,11264,11534336,0.07085072782304552
,24,0.0026915125714408027,12.086634635925293,2e-05,"tensor(58.7500, dtype=torch.bfloat16)",177483.8125,120,54109.186448122324,12288,12582912,0.07626432995001475
,26,0.0025979792409472997,12.188819885253906,2.1666666666666667e-05,"tensor(58.7500, dtype=torch.bfloat16)",196579.03125,130,56057.24374550913,13312,13631488,0.08147772007518345
,28,0.0026132080290052627,12.104727745056152,2.3333333333333336e-05,"tensor(58.7500, dtype=torch.bfloat16)",180724.265625,140,55730.56333023469,14336,14680064,0.08671457833713955
,30,0.0027377212709850736,11.725226402282715,2.5e-05,"tensor(58.5000, dtype=torch.bfloat16)",123652.0,150,53195.903139969276,15360,15728640,0.09209059814612071
,32,0.002714758515357971,11.915090560913086,2.666666666666667e-05,"tensor(58.5000, dtype=torch.bfloat16)",149505.8125,160,53645.86011303178,16384,16777216,0.0974916829665502
,34,0.002588804629113939,11.68972110748291,2.8333333333333332e-05,"tensor(58.5000, dtype=torch.bfloat16)",119338.7265625,170,56255.908197059165,17408,17825792,0.10268240484926436
,36,0.0026773583226733736,11.651939392089844,3e-05,"tensor(58.2500, dtype=torch.bfloat16)",114914.015625,180,54395.24262487837,18432,18874368,0.10792762246396806
,38,0.0026173202196756997,11.636995315551758,3.166666666666667e-05,"tensor(58.2500, dtype=torch.bfloat16)",113209.4921875,190,55643.002511018916,19456,19922944,0.11325768603218926
,40,0.016598012778494094,11.821759223937988,3.3333333333333335e-05,"tensor(58.2500, dtype=torch.bfloat16)",136183.59375,200,8774.276625708731,20480,20971520,0.13272331111960942
,42,0.0025717608796225655,11.643454551696777,3.5000000000000004e-05,"tensor(58., dtype=torch.bfloat16)",113943.109375,210,56628.7311971746,21504,22020096,0.13787571675247617
,44,0.0026958179473876953,11.470422744750977,3.6666666666666666e-05,"tensor(58., dtype=torch.bfloat16)",95838.78125,220,54022.770972602026,22528,23068672,0.143194982541932
,46,0.002550286054611206,11.063186645507812,3.8333333333333334e-05,"tensor(58., dtype=torch.bfloat16)",63779.46875,230,57105.57656551114,23552,24117248,0.14847043501006232
,48,0.002620172831747267,11.554779052734375,4e-05,"tensor(58.2500, dtype=torch.bfloat16)",104274.1796875,240,55582.42333901242,24576,25165824,0.15361193007893031
,50,0.0026037983099619546,10.770782470703125,4.1666666666666665e-05,"tensor(58.2500, dtype=torch.bfloat16)",47609.25390625,250,55931.9648524096,25600,26214400,0.15877751886844635
,52,0.0025487378570768567,11.210763931274414,4.3333333333333334e-05,"tensor(58.2500, dtype=torch.bfloat16)",73921.859375,260,57140.26460241177,26624,27262976,0.16390449934535556
,54,0.002530904081132677,10.825645446777344,4.4999999999999996e-05,"tensor(58.5000, dtype=torch.bfloat16)",50294.21875,270,57542.89806604526,27648,28311552,0.16894371469815572
,56,0.0026225844356748793,11.18775463104248,4.666666666666667e-05,"tensor(58.5000, dtype=torch.bfloat16)",72240.390625,280,55531.31238578354,28672,29360128,0.17418932033909693
,58,0.0025762017567952473,10.139251708984375,4.8333333333333334e-05,"tensor(58.5000, dtype=torch.bfloat16)",25317.515625,290,56531.11413786309,29696,30408704,0.17934474753008947
,60,0.01576645321316189,10.456451416015625,5e-05,"tensor(58.5000, dtype=torch.bfloat16)",34767.95703125,300,9237.052467448955,30720,31457280,0.1976564485496945
